Song,Album,Lyrics
Lavender Haze,Midnights (3am Edition),"Meet me at midnight  Staring at the ceiling with you  Oh, you don't ever say too much  And you don't really read into  My melancholia  I been under scrutiny (Yeah, oh, yeah)  You handle it beautifully (Yeah, oh, yeah)  All this shit is new to me (Yeah, oh, yeah)  I feel the lavender haze creeping up on me  Surreal  I'm damned if I do give a damn what people say  No deal  The 1950s shit they want from me  I just wanna stay in that lavender haze  All they keep asking me (All they keep asking me)  Is if I'm gonna be your bride  The only kinda girl they see (Only kinda girl they see)  Is a one-night or a wife  I find it dizzying (Yeah, oh, yeah)  They're bringing up my history (Yeah, oh, yeah)  But you weren't even listening (Yeah, oh, yeah)  I feel the lavender haze creepin' up on me  Surreal  That lavender haze  Talk your talk and go viral  I just need this love spiral  Get it off your chest  Get it off my desk (Get it off my desk)  Talk your talk and go viral  Get it off your chest  Get it off my desk  I feel (I feel), the lavender haze creeping up on me  Surreal  I'm damned if I do give a damn what people say  No deal (No deal)  The 1950s shit they want from me  Get it off your chest  Get it off my desk  That lavender haze  I just wanna stay  I just wanna stay in that lavender haze"
Maroon,Midnights (3am Edition),"When the morning came  We were cleaning incense off your vinyl shelf  'Cause we lost track of time again  Laughing with my feet in your lap  Like you were my closest friend  ""How'd we end up on the floor, anyway?"" you say  ""Your roommate's cheap-ass screw-top rosé, that's how""  I see you every day now  And I chose you  The one I was dancing with  In New York, no shoes  Looked up at the sky and it was  The burgundy on my t-shirt  When you splashed your wine into me  And how the blood rushed into my cheeks  So scarlet, it was  The mark thеy saw on my collarbone  The rust that grew bеtween telephones  The lips I used to call home  So scarlet, it was maroon  When the silence came  We were shaking, blind and hazy  How the hell did we lose sight of us again?  Sobbing with your head in your hands  Ain't that the way shit always ends?  You were standing hollow-eyed in the hallway  Carnations you had thought were roses, that's us  I feel you, no matter what  The rubies that I gave up  And I lost you  The one I was dancing with  In New York, no shoes  Looked up at the sky and it was (Maroon)  The burgundy on my t-shirt  And how the blood rushed into my cheeks  So scarlet, it was (Maroon)  The mark they saw on my collarbone  The rust that grew between telephones  The lips I used to call home  And I wake with your memory over me  That's a real fucking legacy, legacy (It was maroon)  And I wake with your memory over me  That's a real fucking legacy to leave  The burgundy on my t-shirt  And how the blood rushed into my cheeks  So scarlet, it was maroon  The mark they saw on my collarbone  It was maroon  It was maroon"
Mastermind,Midnights (3am Edition),"Once upon a time, the planets and the fates  And all the stars aligned  You and I ended up in the same room  At the same time  And the touch of a hand lit the fuse  Of a chain reaction of countermoves  To assess the equation of you  Checkmate, I couldn't lose  What if I told you none of it was accidental?  And the first night that you saw me  Nothing was gonna stop me  I laid the groundwork, and then  Just like clockwork  The dominoes cascaded in a line  What if I told you I'm a mastermind?  And now you're mine  It was all by dеsign  'Cause I'm a mastermind  You see, all the wisеst women  Had to do it this way  'Cause we were born to be the pawn  In every lover's game  If you fail to plan, you plan to fail  Strategy sets the scene for the tale  I'm the wind in our free-flowing sails  And the liquor in our cocktails  And the first night that you saw me  I knew I wanted your body  I laid the groundwork, and then  And now you're mine  It was all my design  'Cause I'm a mastermind  No one wanted to play with me as a little kid  So I've been scheming like a criminal ever since  To make them love me and make it seem effortless  This is the first time I've felt the need to confess  And I swear  I'm only cryptic and Machiavellian  'Cause I care  So I told you none of it was accidental  And the first night that you saw me  I laid the groundwork, and then  Saw a wide smirk on your face  You knew the entire time  You knew that I'm a mastermind  And now you're mine  Yeah, all you did was smile  'Cause I'm a mastermind"
Midnight Rain,Midnights (3am Edition),"Rain  He wanted it comfortable, I wanted that pain  He wanted a bride, I was making my own name  Chasing that fame, he stayed the same  All of me changed like midnight  My town was a wasteland  Full of cages, full of fences  Pageant queens and big pretenders  But for some, it was paradise  My boy was a montage  A slow-motion, love potion  Jumping off things in the ocean  I broke his heart 'cause he was nice  He was sunshine, I was midnight rain  He wanted it comfortable, I wanted that pain  It came like a postcard  Picture perfect shiny family  Holiday peppermint candy  But for him, it's every day  So I peered through a window  A deep portal, time travel  All the love we unravel  And the life I gave away  'Cause he was sunshine, I was midnight rain  Chasing that fame, he stayed the same  All of me changed like midnight rain  He wanted it comfortable, I wanted that pain  I guess sometimes we all get  Just what we wanted, just what we wanted  And he never thinks of me  Except for when I'm on TV  I guess sometimes we all get  Some kind of haunted, some kind of haunted  And I never think of him  Except on midnights like this  (Midnights like this, midnights like this)"
Paris,Midnights (3am Edition),"""Your ex-friend's sister  Met someone at a club and he kissed her  Turns out, it was that guy you hooked up with ages ago  Some wannabe Z-lister  And all the outfits were terrible  2003 unbearable  Did you see the photos?""  No, I didn't, but thanks, though  I'm so in love that I might stop breathing  Drew a map on your bedroom ceiling  No, I didn't see the news  'Cause we were somewhere else  Stumbled down pretend alleyways  Cheap wine, make believe it's champagne  I was taken by the view  Like we were in Paris  Like we were somewhere else  Like we were in Paris, oh  We were somewhere else  Privacy sign on the door  And on my page and on the whole world  Romance is not dead if you keep it just yours  Levitate above all the messes made  Sit quiet by my side in the shade  And not the kind that's thrown  I mean, the kind under where a tree has grown  Like we were in Paris, oh  Like we were somewhere else  I wanna brainwash you  Into loving me forever  I wanna transport you  To somewhere the culture's clever  Confess my truth  In swooping, sloping, cursive letters  Let the only flashing lights be the tower at midnight  In my mind  We drew a map on your bedroom ceiling  No, I didn't see the news  'Cause we were somewhere else  In an alleyway, drinking champagne  'Cause we were in Paris  Yes, we were somewhere else  My love, we were in Paris  Yes, we were somewhere else"
Question...?,Midnights (3am Edition),"I remember  Good girl, sad boy  Big city, wrong choices  We had one thing goin' on  I swear that it was somethin'  'Cause I don't remember who I was  Before you painted all my nights  A color I've searched for since  But one thing after another  Fuckin' situations, circumstances  Miscommunications, and I  Have to say, by the way  I just may like some explanations  Can I ask you a question?  Did you ever have someone kiss you in a crowded room  And every single one of your friends was makin' fun of you  But fifteen seconds later, thеy were clappin' too?  Then what did you do?  Did you lеave her house in the middle of the night? Oh  Did you wish you'd put up more of a fight, oh  When she said it was too much?  Do you wish you could still touch her?  It's just a question  Half-moon eyes, bad surprise  Did you realize out of time?  She was on your mind with some dickhead guy  That you saw that night  But you were on somethin'  It was one drink after another  Fuckin' politics and gender roles  And you're not sure and I don't know  Got swept away in the gray  I just may like to have a conversation  And every single one of your friends was makin' fun of you  But fifteen seconds later, they were clappin' too?  Then what did you do?  Did you leave her house in the middle of the night? Oh  Did you wish you'd put up more of a fight, oh  Does it feel like everything's just like  Second best after that meteor strike?  And what's that that I heard? That you're still with her?  That's nice, I'm sure that's what's suitable  And right, but tonight  Can I ask you a question? (Can I ask you a question?)  Did you ever have someone kiss you in a crowded room (In a crowded room)  And every single one of your friends was makin' fun of you (Makin' fun of you)  But fifteen seconds later, they were clappin' too?  Then what did you do? (Do)  Did you leave her house in the middle of the night? Oh  Did you wish you'd put up more of a fight, oh (More of a fight)  When she said it was too much?"
Snow On the Beach,Midnights (3am Edition),"One night, a few moons ago  I saw flecks of what could've been lights  But it might just have been you  Passing by unbeknownst to me  Life is emotionally abusive  And time can't stop me quite like you did  And my flight was awful, thanks for asking  I'm unglued, thanks to you  And it's like snow at the beach  Weird, but fuckin' beautiful  Flying in a dream  Stars by the pocketful  You wanting me  Tonight feels impossible  But it's comin' down  No sound, it's all around  Like snow on the beach  Like snow on the beach  Like snow on the beach  Like snow, ah  This scene feels like what I once saw on a screen  I searched ""aurora borealis green""  I've never seen someone lit from within  Blurring out my periphery  My smile is like I won a contest  And to hide that would be so dishonest  And it's fine to fake it 'til you make it  'Til you do, 'til it's true  Now it's like snow at the beach  Weird, but fuckin' beautiful  I (I) can't (Can't) speak, afraid to jinx it  I (I) don't (Don't) even dare to wish it  But your eyes are flying saucers from another planet  Now I'm all for you like Janet  Can this be a real thing? Can it?  Are we falling like snow at the beach? (Snow at the beach)  Weird, but fuckin' beautiful  Flying in a dream (Flying in a dream)  Stars by the pocketful  You wanting me (You wanting me)  Tonight feels impossible  Like snow on the beach (Snow on the beach)  Like snow on the beach (Flying in a dream)  Like snow on the beach (You wanting me)  Like snow, ah  But it's comin' down  Like snow on the beach  (It's comin' down, it's comin' down)  (It's comin' down, it's comin' down)  Like snow on the beach  (It's comin' down, it's comin' down)  (It's comin' down, it's comin' down)"
Sweet Nothing,Midnights (3am Edition),"I spy with my little tired eye  Tiny as a firefly  A pebble that we picked up last July  Down deep inside your pocket  We almost forgot it  Does it ever miss Wicklow sometimes?  Ooh, ooh  They said the end is comin'  Everyone's up to somethin'  I find myself runnin' home to your sweet nothings  Outside, they're push and shovin'  You're in the kitchen hummin'  All that you ever wanted from me was sweet nothin'  On the way home  I wrote a poem  You say, ""What a mind""  This happens all the time  Ooh, ooh  'Causе they said the end is comin'  Evеryone's up to somethin'  I find myself runnin' home to your sweet nothings  You're in the kitchen hummin'  All that you ever wanted from me was nothin'  Industry disruptors and soul deconstructors  And smooth-talking hucksters out glad-handing each other  And the voices that implore, ""You should be doing more""  To you, I can admit that I'm just too soft for all of it  Ooh  All that you ever wanted from me was sweet nothin'  They said the end is comin' (They said the end is comin')  Everyone's up to somethin' (Everyone's up to somethin')  I find myself runnin' home to your sweet nothings  Outside, they're push and shovin' (Outside, they're push and shovin')  You're in the kitchen hummin' (You're in the kitchen hummin')  All that you ever wanted from me was sweet nothin'"
The Great War,Midnights (3am Edition),"My knuckles were bruised like violets  Sucker punching walls, cursed you as I sleep-talked  Spineless in my tomb of silence  Tore your banners down, took the battle underground  And maybe it was egos swinging  Maybe it was her  Flashes of the battle come back to me in a blur  All that bloodshed, crimson clover  Uh-huh, sweet dream was over  My hand was the one you reached for  All throughout the Great War  Always remember  Uh-huh, tears on the lеtter  I vowed not to cry anymore  If wе survived the Great War  You drew up some good faith treaties  I drew curtains closed, drank my poison all alone  You said I have to trust more freely  But diesel is desire, you were playing with fire  And maybe it's the past that's talking  Screaming from the crypt  Telling me to punish you for things you never did  So I justified it  All that bloodshed, crimson clover  Uh-huh, the bombs were closer  My hand was the one you reached for  Always remember  Uh-huh, the burning embers  I vowed not to fight anymore  If we survived the Great War  Uh-huh, uh-huh  It turned into something bigger  Somewhere in the haze, got a sense I'd been betrayed  Your finger on my hairpin triggers  Soldier down on that icy ground  Looked up at me with honor and truth  Broken and blue, so I called off the troops  That was the night I nearly lost you  I really thought I'd lost you  We can plant a memory garden  Say a solemn prayer, place a poppy in my hair  There's no morning glory, it was war, it wasn't fair  And we will never go back  To that bloodshed, crimson clover  Uh-huh, the worst was over  My hand was the one you reached for  Always remember  Uh-huh, we're burned for better  I vowed I would always be yours  'Cause we survived the Great War  Uh-huh, uh-huh  I will always be yours  'Cause we survived the Great War  Uh-huh  I vow I will always be yours"
Vigilante Shit,Midnights (3am Edition),"Draw the cat eye sharp enough to kill a man  You did some bad things, but I'm the worst of them  Sometimes I wonder which one'll be your last lie  They say looks can kill and I might try  I don't dress for women  I don't dress for men  Lately, I've been dressin' for revenge  I don't start shit, but I can tell you how it ends  Don't get sad, get even  So on the weekends  I don't dress for friends  Lately, I've been dressin' for revenge  She needed cold, hard proof, so I gave her some  She had the envelope, where you think she got it from?  Now she gets the house, gets the kids, gets the pride  Picture me thick as thieves with your ex-wife  And she looks so pretty  Drivin' in your Benz  Lately, she's been dressin' for revenge  She don't start shit, but she can tell you how it ends  Don't get sad, get even  So on the weekends  She don't dress for friends  Lately, she's been dressing for revenge  Ladies always rise above  Ladies know what people want  Someone sweet and kind and fun  The lady simply had enough  While he was doin' lines and crossin' all of mine  Someone told his white-collar crimes to the FBI  And I don't dress for villains  Or for innocents  I'm on my vigilante shit again"
"Would’ve, Could’ve, Should’ve",Midnights (3am Edition),"If you would've blinked, then I would've  Looked away at the first glance  If you tasted poison, you could've  Spit me out at the first chance  And if I was some paint, did it splatter  On a promising grown man?  And if I was a child, did it matter  If you got to wash your hands?  Ooh, all I used to do was pray  Would've, could've, should've  If you'd never looked my way  I would've stayed on my knees  And I damn sure never would've danced with the devil  At nineteen  And the God's honest truth is that the pain was heaven  And now that I'm grown, I'm scared of ghosts  Memories feel like weapons  And now that I know, I wish you'd left me wondering  If you never touched me, I would've  Gone along with the righteous  If I never blushed, then they could've  Never whispered about this  And if you never saved me from boredom  I could've gone on as I was  But, Lord, you made me feel important  And then you tried to erase us  Ooh, you're a crisis of my faith  Would've, could've, should've  If I'd only played it safe  God rest my soul  I miss who I used to be  The tomb won't close  Stained glass windows in my mind  I regret you all the time  I can't let this go  I fight with you in my sleep  The wound won't close  I keep on waiting for a sign  I regret you all the time  If clarity's in death, then why won't this die?  Years of tearing down our banners, you and I  Living for the thrill of hitting you where it hurts  Give me back my girlhood, it was mine first  And I damn sure never would've danced with the devil  I regret you all the time  Oh, God rest my soul  I miss who I used to be"
"You’re On Your Own, Kid",Midnights (3am Edition),"Summer went away, still, the yearning stays  I play it cool with the best of them  I wait patiently, he's gonna notice me  It's okay, we're the best of friends  Anyway  I hear it in your voice, you're smoking with your boys  I touch my phone as if it's your face  I didn't choose this town, I dream of getting out  There's just one who could make me stay  All my days  From sprinkler splashes to fireplace ashes  I waited ages to see you there  I search the party of better bodies  Just to learn that you never cared  You're on your own, kid  You always have been  I see the great escape, so long, Daisy May  I picked the petals, he loves me not  Something different bloomed, writing in my room  I play my songs in the parking lot  I'll run away  From sprinkler splashes to fireplace ashes  I called a taxi to take me there  I search the party of better bodies  Just to learn that my dreams aren't rare  From sprinkler splashes to fireplace ashes  I gave my blood, sweat, and tears for this  I hosted parties and starved my body  Like I'd be saved by a perfect kiss  The jokes weren't funny, I took the money  My friends from home don't know what to say  I looked around in a blood-soaked gown  And I saw something they can't take away  'Cause there were pages turned with the bridges burned  Everything you lose is a step you take  So, make the friendship bracelets, take the moment and taste it  You've got no reason to be afraid  You're on your own, kid  Yeah, you can face this  You're on your own, kid"
A Perfectly Good Heart,Taylor Swift,"Why would you wanna break  A perfectly good heart?  Why would you wanna take  Our love and tear it all apart now?  Why would you wanna make  The very first scar?  Why would you wanna break  A perfectly good heart?  Maybe I should've seen the signs  Should've read the writing on the wall  And realized by the distance in your eyes  That I would be the one to fall  No matter what you say  I still can't believe that you would walk away  It don't make sense to me, but  It's not unbroken anymore (It's not unbroken anymore)  How do I get it back the way it was before?  The very first scar?  Why would you wanna break -  (Why) Would you wanna break it?  Mmm-hmm"
A Place In This World,Taylor Swift,"I don't know what I want, so don't ask me  'Cause I'm still trying to figure it out  Don't know what's down this road, I'm just walking  Trying to see through the rain coming down  Even though I'm not the only one  Who feels the way I do  I'm alone, on my own, and that's all I know  I'll be strong, I'll be wrong, oh but life goes on  Oh, I'm just a girl, trying to find a place in this world  Got the radio on, my old blue jeans  And I'm wearing my heart on my sleeve  Feeling lucky today, got the sunshine  Could you tell me what more do I need  And tomorrow's just a mystery, oh yeah  But that's okay  Maybe I'm just a girl on a mission  But I'm ready to fly  I'll be strong, I'll be wrong, oh but life goes on  Oh I'm alone, on my own, and that's all I know  Oh I'm just a girl, trying to find a place in this world  Oh I'm just a girl  Oh I'm just a girl, oh, oh  Oh I'm just a girl"
Invisible,Taylor Swift,"She can't see the way your eyes  Light up when you smile  She'll never notice how you stop and stare  Whenever she walks by  And you can't see me wanting you the way you want her  But you are everything to me  And I just wanna show you  She don't even know you  She's never gonna love you like I want to  And you just see right through me  But if you only knew me  We could be a beautiful miracle, unbelievable  Instead of just invisible  Oh, yeah, oh  There's a fire inside of you  That can't help but shine through  She's never gonna see the light  No matter what you do  And all I think about is how to make you think of me  And everything that we could be  Like shadows in a faded light  Oh, we're invisible  I just wanna open your eyes  And make you realize  I just wanna show you  She don't even know you  Baby, let me love you, let me want you  You just see right through me  But if you only knew me  Oh, yeah  Light up when you smile"
Mary’s Song (Oh My My My),Taylor Swift,"She said I was seven and you were nine  I looked at you like the stars that shined  In the sky, the pretty lights  And our daddies used to joke about the two of us  Growing up and falling in love  And our mamas smiled and rolled their eyes  And said, ""Oh, my, my, my""  Take me back to the house in the backyard tree  Said you'd beat me up, you were bigger than me  You never did, you never did  Take me back when our world was one block wide  I dared you to kiss me and ran when you tried  Just two kids, you and I  Oh, my, my, my, my  Well, I was sixteen when suddenly  I wasn't that little girl you used to see  But your eyes still shined like pretty lights  And our daddies used to joke about the two of us  They never believed we'd really fall in love  And our mamas smiled and rolled their eyes  Take me back to the creek beds we turned up  2 a.m. riding in your truck  And all I need is you next to me  Take me back to the time we had our very first fight  The slamming of doors 'stead of kissing goodnight  You stayed outside 'til the morning light  Oh, my, my, my, my  A few years had gone and come around  We were sitting at our favorite spot in town  And you looked at me, got down on one knee  Take me back to the time when we walked down the aisle  Our whole town came and our mamas cried  You said, ""I do,"" and I did, too  Take me home where we met so many years before  We'll rock our babies on that very front porch  After all this time, you and I  And I'll be eighty-seven, you'll be eighty-nine  I'll still look at you like the stars that shine  In the sky, oh, my, my, my"
Our Song,Taylor Swift,"I was ridin' shotgun with my hair undone  In the front seat of his car  He's got a one-hand feel on the steering wheel  The other on my heart  I look around, turn the radio down  He says, ""Baby, is something wrong?""  I say, ""Nothin', I was just thinkin'  How we don't have a song""  And he says  Our song is the slamming screen door  Sneakin' out late, tapping on your window  When we're on the phone and you talk real slow  'Cause it's late and your mama don't know  Our song is the way you laugh  The first date: ""Man, I didn't kiss her, and I should have""  And when I got home, 'fore I said amen  Askin' God if he could play it again  I was walking up the front porch steps  After everything that day  Had gone all wrong or been trampled on  And lost and thrown away  Got to the hallway, well on my way  To my lovin' bed  I almost didn't notice all the roses  And the note that said  Da-da-da-da  I've heard every album, listened to the radio  Waited for somethin' to come along  That was as good as our song  'Cause our song is the slamming screen door  Sneakin' out late, tappin' on his window  When we're on the phone and he talks real slow  'Cause it's late and his mama don't know  Our song is the way he laughs  The first date: ""Man, I didn't kiss him, and I should have""  And when I got home, 'fore I said amen  Play it again, oh, yeah  Oh, oh, yeah  In the front seat of his car  I grabbed a pen and an old napkin  And I wrote down our song"
Should’ve Said No,Taylor Swift,"It's strange to think the songs we used to sing  The smiles, the flowers, everything is gone  Yesterday, I found out about you  Even now, just lookin' at you feels wrong  You say that you'd take it all back  Given one chance  It was a moment of weakness  And you said yes  You should've said no, you should've gone home  You should've thought twice 'fore you let it all go  You should've known that word  'Bout what you did with her'd get back to me (Get back to me)  And I should've been there, in the back of your mind  I shouldn't be asking myself why  You shouldn't be begging for forgiveness at my feet  You should've said no  Baby, and you might still have me  You can see that I've been cryin'  And baby, you know all the right things to say  But do you honestly expect me to believe  We could ever be the same?  You say that the past is the past  You need one chance  It was a moment of weakness  Baby, and you might still have me  Oh, oh  I can't resist  Before you go, tell me this  Was it worth it?  Was she worth this?  No, no  No, no, no, no"
Stay Beautiful,Taylor Swift,"Corey's eyes are like a jungle  He smiles, it's like the radio  He whispers songs into my window  In words that nobody knows  There's pretty girls on every corner  They watch him as he's walking home  Saying, ""Does he know?""  Will you ever know?  You're beautiful, every little piece, love  Don't you know you're really gonna be someone?  Ask anyone  And when you find everything you looked for  I hope your life leads you back to my door  Oh, but if it don't  Stay beautiful  Cory finds another way to be  The highlight of my day  I'm taking pictures in my mind  So I can save 'em for a rainy day  It's hard to make a conversation  When he's taking my breath away  I should say, ""Hey, by the way""  If you and I are a story  That never gets told  If what you are is a daydream  I'll never get to hold, at least you'll know  And when you find everything you looked for  I hope your life leads you back to my front door  Oh, but if it don't  Will you stay beautiful, beautiful, beautiful?  Beautiful, beautiful, beautiful  La-la-la  Oh-oh-oh  Oh-oh-oh-oh  Oh, but if it don't  Stay beautiful, stay beautiful  Na-na-na, na-na"
Teardrops on My Guitar (Pop Version),Taylor Swift,"Drew looks at me  I fake a smile so he won't see  That I want and I'm needing  Everything that we should be  I'll bet she's beautiful  That girl he talks about  And she's got everything that I have to live without  Drew talks to me  I laugh 'cause it's just so funny  That I can't even see  Anyone when he's with me  He says he's so in love  He's finally got it right  I wonder if he knows he's all I think about at night  He's the reason for the teardrops on my guitar  The only thing that keeps me wishing on a wishing star  He's the song in the car I keep singing  Don't know why I do  Drew walks by me  Can he tell that I can't breathe?  And there he goes, so perfectly  The kind of flawless I wish I could be  She'd better hold him tight  Give him all her love  Look in those beautiful eyes and know she's lucky 'cause  So I drive home alone  As I turn off the light  I'll put his picture down and maybe get some sleep tonight  'Cause he's the reason for the teardrops on my guitar  The only one who's got enough for me to break my heart  He's the song in the car I keep singing  Don't know why I do (Why I do)  He's the time taken up, but there's never enough  And he's all that I need to fall into  I fake a smile so he won't see"
The Outside,Taylor Swift,"I didn't know what I would find  When I went looking for a reason, I know  I didn't read between the lines  And, baby, I've got nowhere to go  I tried to take the road less traveled by  But nothing seems to work the first few times  Am I right?  So how can I ever try to be better?  Nobody ever lets me in  I can still see you, this ain't the best view  On the outside looking in  I've been a lot of lonely places  I've never been on the outside  You saw me there, but never knew  That I would give it all up to be  A part of this, a part of you  And now it's all too late, so you see  You could've helped if you had wanted to  But no one notices until it's too  Late to do anything  How can I ever try to be better?  Nobody ever lets me in  Oh, yeah  Nobody ever lets me in  And I can still see you, this ain't the best view  On the outside looking in  Oh-oh  Oh, oh-oh  Oh-oh  Oh-oh"
Tim McGraw,Taylor Swift,"He said the way my blue eyes shined  Put those Georgia stars to shame that night  I said, ""That's a lie""  Just a boy in a Chevy truck  That had a tendency of gettin' stuck  On backroads at night  And I was right there beside him all summer long  And then the time we woke up to find that summer gone  But when you think Tim McGraw  I hope you think my favorite song  The one we danced to all night long  The moon like a spotlight on the lake  When you think happiness  I hope you think that little black dress  Think of my head on your chest  And my old faded blue jeans  When you think Tim McGraw  I hope you think of me  September saw a month of tears  And thankin' God that you weren't here  To see me like that  But in a box beneath my bed  Is a letter that you never read  From three summers back  It's hard not to find it all a little bittersweet  And lookin' back on all of that, it's nice to believe  When you think Tim McGraw  I hope you think my favorite song  And I'm back for the first time since then  I'm standin' on your street  And there's a letter left on your doorstep  And the first thing that you'll read is:  ""When you think Tim McGraw  I hope you think my favorite song  Someday you'll turn your radio on  I hope it takes you back to that place""  When you think happiness  I hope you think of me  Oh, think of me  Mmmm  He said the way my blue eyes shine  Put those Georgia stars to shame that night  I said, ""That's a lie"""
Tied Together with a Smile,Taylor Swift,"Seems the only one who doesn't see your beauty  Is the face in the mirror looking back at you  You walk around here thinking you're not pretty  But that's not true  'Cause I know you  Hold on, baby, you're losing it  The water's high, you're jumping into it and letting go  And no one knows  That you cry, but you don't tell anyone  That you might not be the golden one  And you're tied together with a smile  But you're coming undone, oh  I guess it's true that love was all you wanted  'Cause you're giving it away like it's extra change  Hoping it will end up in his pocket (Pocket)  But he leaves you out like a penny in the rain  Oh, 'cause it's not his price to pay  It's not his price to pay  But you're coming undone, oh  Oh, oh  And no one knows  That you cry but you don't tell anyone  That you might not be the golden one  You're tied together with a smile  But you're coming undone, oh, oh-oh  Goodbye, baby  With a smile, baby, baby  Oh"
Cold as You,Taylor Swift,"You have a way of coming easily to me  And when you take, you take the very best of me  So I start a fight cause I need to feel something  And you do what you want 'cause I'm not what you wanted  Oh, what a shame, what a rainy ending given to a perfect day  Just walk away, ain't no use defending words that you will never say  And now that I'm sitting here thinking it through  I've never been anywhere cold as you  You put up walls and paint them all a shade of gray  And I stood there loving you and wished them all away  And you come away with a great little story  Of a mess of a dreamer with the nerve to adore you  Oh, what a shame, what a rainy ending given to a perfect day  So just walk away, ain't no use defending words that you will never say  And now that I'm sitting here thinking it through  You never did give a damn thing, honey, but I cried, cried for you  And I know you wouldn't have told nobody if I died, died for you  (Died for you)  Oh, what a shame, what a rainy ending given to a perfect day  Every smile you fake is so condescending  Counting all the scars you made  And now that I'm sitting here thinking it through  I've never been anywhere cold as you  Ooh"
I’m Only Me When I’m With You,Taylor Swift,"Friday night beneath the stars  In a field behind your yard  You and I are painting pictures in the sky  And sometimes, we don't say a thing  Just listen to the crickets sing  Everything I need is right here by my side  And I know everything about you  I don't wanna live without you  I'm only up when you're not down  Don't wanna fly if you're still on the ground  It's like no matter what I do  Well, you drive me crazy half the time  The other half, I'm only tryin' to  Let you know that what I feel is true  And I'm only me when I'm with you  Just a small-town boy and girl  Livin' in a crazy world  Tryna figure out what is and isn't true  And I don't try to hide my tears  My secrets or my deepest fears  Through it all, nobody gets me like you do  And you know everything about me  You say that you can't live without me  When I'm with anybody else  It's so hard to be myself  And only you can tell  That I'm only up when you're not down  Don't wanna fly if you're still on the ground  Let you know that what I feel is true  And I'm only me  Who I wanna be  Well, I'm only me when I'm with you  With you  Uh-huh-huh, yeah"
Breathe (Taylor’s Version),Fearless (Taylor’s Version),"I see your face in my mind as I drive away  'Cause none of us thought it was gonna end that way  People are people and sometimes we change our minds  But it's killing me to see you go after all this time  Mm-mm, mm-mm-mm-mm  Mm-mm, mm-mm-mm-mm  The music starts playing like the end of a sad movie  It's the kind of ending you don't really wanna see  'Cause it's tragedy and it'll only bring you down  Now I don't know what to be without you around  And we know it's never simple, never easy  Never a clean break, no one here to save me  You're the only thing I know like the back of my hand  And I can't breathe without you, but I have to  Breathe without you, but I have to  Never wanted this, never wanna see you hurt  Every little bump in the road, I tried to swerve  But people are people and sometimes it doesn't work out  And nothin' we say is gonna save us from the fallout  And I can't breathe without you, but I have to  Breathe without you but I have to  It's 2 A.M., feeling like I just lost a friend  Hope you know it's not easy, easy for me  It's 2 A.M., feeling like I just lost a friend  Hope you know this ain't easy, easy for me  And we know it's never simple, never easy  Never a clean break, no one here to save me, oh  I can't breathe without you, but I have to  Breathe without you, but I have to  Breathe without you, but I have to  Breathe without you, but I have to  I'm sorry, I'm sorry (Mmm)  I'm sorry, (Yeah, yeah) I'm sorry  I'm sorry, I'm sorry (Ooh, ooh)  I'm sorry"
Change (Taylor’s Version),Fearless (Taylor’s Version),"Well, it's a sad picture, the final blow hits you  Somebody else gets what you wanted again and  You know it's all the same, another time and place  Repeating history and you're getting sick of it  But I believe in whatever you do  And I'll do anything to see it through  Because these things will change  Can you feel it now?  These walls that they put up to hold us back will fall down  This revolution, the time will come  For us to finally win  And we'll sing hallelujah, we'll sing hallelujah  Oh, oh  So we've been outnumbered, raidеd, and now cornered  It's hard to fight when thе fight ain't fair  We're getting stronger now, find things they never found  They might be bigger but we're faster and never scared  You can walk away, say we don't need this  But there's something in your eyes says we can beat this  'Cause these things will change  Can you feel it now?  Tonight, we'll stand, get off our knees  Fight for what we've worked for all these years  And the battle was long, it's the fight of our lives  But we'll stand up champions tonight  It was the night things changed  Can you see it now?  When the walls that they put up to hold us back fell down  It's a revolution, throw your hands up  'Cause we never gave in  And we'll sing hallelujah, we sang hallelujah  Hallelujah"
Come In With The Rain (Taylor’s Version),Fearless (Taylor’s Version),"I could go back to every laugh  But I don't wanna go there anymore  And I know all the steps up to your door  But I don't wanna go there anymore  Talk to the wind, talk to the sky  Talk to the man with the reasons why  And let me know what you find  I'll leave my window open  'Cause I'm too tired at night to call your name  Just know I'm right here hoping  That you'll come in with the rain  I could stand up and sing you a song  But I don't wanna have to go that far  And I, I've got you down, I know you by heart  And you don't even know where I start  Talk to yourself, talk to the tears  Talk to the man who put you here  And don't wait for the sky to clear  I'll leave my window open  'Cause I'm too tired at night to call your name, oh  Just know I'm right here hoping  I've watched you so long, screamed your name  I don't know what else I can say  I'll leave my window open  'Cause I'm too tired at night for all these games  Just know I'm right here hoping  But I don't wanna go there anymore"
